titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Aire acondicionado	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
Jeronimo Siller	Jerónimo Siller, San Pedro Garza García	58000000.0	8.0	False	False	False	False	4.0	False	997.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1471.0	False
CASA EN VENTA EN LA HERRADURA	Club de Golf La Herradura, Monterrey	32500000.0	4.0	False	False	False	False	4.0	False	800.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	588.0	False
Proyectos Cumbres Elite te Construimos al Gusto. !!!	Cima del Bosque, Monterrey	6311500.0	4.0	False	False	True	False	2.0	True	270.0	True	3.0	True	False	False	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	181.0	False
Casa de dos niveles col Paso del Aguila , Monterrey	Paso Del Águila, Monterrey	1300000.0	2.0	False	False	False	False	1.0	True	224.0	False	2.0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	160.0	False
CASA EN VENTA VALLE SANTA ISABEL SECTOR MADRID JUÁREZ NL	Benito Juárez Centro, Juárez	577000.0	1.0	False	False	False	False	2.8	False	61.0	True	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	90.0	False
CASA QUINTA EN VENTA EN EL BARRO SANTIAGO NL	El Barro, Santiago	13200000.0	5.0	False	False	False	True	8.0	True	580.0	True	6.0	True	False	False	False	True	True	True	False	False	True	True	True	False	True	True	False	True	False	True	True	True	True	False	False	1312.0	True
Juarez N. L. Colonia San Antonio, 3 Rec. 1 Baño Local Comercial, Cochera Techada	San Antonio, Juárez	690000.0	1.0	False	False	False	False	1.0	True	188.0	False	4.0	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	118.0	False
CASA - QUINTA EN VENTA EN FRACCIONAMIENTO SAN ANTONIO, ALLENDE, NUEVO LEON	San Antonio, Allende	2550000.0	2.5	False	False	False	False	2.0	False	190.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	162.0	False
CASA EN VENTA EN DOMINIO CUMBRES	Privalia Cumbres, García	2665000.0	3.0	False	False	False	True	2.0	True	160.0	False	3.0	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	119.0	True
Casa en Venta en Garcia, Nuevo Leon.	Lomas Palmeira, García	2311000.0	2.0	True	True	False	False	2.0	False	123.0	False	3.0	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	123.0	False
EXCELENTE CASA EN VENTA EN COL. CUAUHTEMOC, SAN NICOLÁS DE LOS GARZA	Cuauhtémoc, San Nicolás de los Garza	10300000.0	4.0	True	False	False	False	4.0	True	440.0	True	4.0	True	False	False	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	True	False	False	True	False	False	345.0	False
casa Valle de Cumbres Premier	Valle de Cumbres Premier, García	4900000.0	4.0	False	False	False	False	2.0	False	215.0	False	3.0	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	180.0	True
CASA EN VENTA COL FUENTES DEL VALLE, SPGG	Fuentes del Valle, San Pedro Garza García	12500000.0	2.0	False	False	False	False	1.0	True	213.0	False	3.0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	405.0	False
Condominio horizontal Ayulama en Rincón de Las Huertas ENTREGA INMEDIATA!	Rincón de las Huertas, Santa Catarina	5100000.0	5.0	False	False	True	False	2.0	False	257.0	False	3.0	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	True	False	True	True	True	False	False	175.0	False
Casa en Privada Arrezo En Dominio Cumbres	Arezzo Residencial, García	2300000.0	2.5	False	False	False	False	2.0	True	154.0	True	3.0	True	True	False	True	False	True	False	False	False	False	True	False	False	True	False	False	True	True	True	False	True	False	False	False	105.0	True
El Uro Casa en Venta	El Uro, Monterrey	9700000.0	6.0	False	False	False	False	3.0	False	436.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	276.0	False
Hermosa Casa en Col. Real Del Valle en Santa Catarina (Negociable)	Real Del Valle, Santa Catarina	3000000.0	3.0	False	True	False	False	2.0	True	176.0	True	3.0	True	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	90.0	False
Casa en Venta en Centrika, Monterrey	Residencial Céntrika, Monterrey	3900000.0	3.5	False	False	False	False	2.0	False	197.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	112.0	False
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	2820000.0	3.0	True	True	True	True	2.0	True	190.0	False	3.0	False	True	False	False	False	True	False	False	False	False	True	False	False	True	False	True	False	True	True	True	True	True	False	False	156.0	True
Casa en Venta en Rincón de Los Encinos en Santiago, en Carretera Nacional	Bosques de San José, Santiago	5950000.0	4.5	False	False	False	False	2.0	False	300.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	360.0	False
CASA EN CLUB DE GOLF LAS CRUCES, APODACA	Las Cruces Club de Golf, Apodaca	4500000.0	3.0	False	True	False	True	2.0	True	235.0	False	3.0	True	False	False	False	False	False	True	False	False	True	False	False	False	True	True	False	False	False	True	True	False	False	False	False	330.0	False
CASA EN VENTA COLONIA HACIENDA MITRAS MONTERREY NUEVO LEON	Hacienda Mitras, Monterrey	1800000.0	2.0	False	False	False	False	2.0	False	142.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	160.0	False
Casa en PREVENTA catujanes	Catujanes, Monterrey	12500000.0	5.0	False	True	False	False	3.0	False	460.0	False	4.0	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	False	300.0	False
Casa en Venta Privada del Fresno Zona Cumbres	Las Lomas Sector Jardines, García	2990000.0	2.0	False	False	False	False	2.0	False	209.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	223.0	False
CASA (PROYECTO) EN VENTA SANTA CATARINA COL. LA FAMA 160 M2 SUPERFICIE	La Fama, Santa Catarina	1490000.0	1.0	False	False	False	False	1.0	False	150.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	160.0	False
Azalea. Montellán	Monterrey	5200000.0	3.5	False	False	False	False	2.0	False	202.54	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	321.54	False
Casa En Venta Cumbres Nuevo Leon Fracc Altrysa con acabados de lujo	Gran Reserva, García	2437000.0	2.0	False	True	False	True	2.0	True	162.0	False	3.0	True	True	True	True	True	True	True	False	False	True	False	True	False	True	False	False	True	True	False	True	True	True	True	False	119.0	True
Casa en venta La joya carretera nacional	La Joya, Monterrey	20500000.0	6.0	False	True	False	False	3.0	True	750.0	False	4.0	False	True	False	True	True	True	True	False	False	True	False	False	False	True	True	False	True	False	True	True	False	True	False	False	424.0	False
Casa en Venta, Col. Chapultepec, San Nicolás de los Garza	Chapultepec, San Nicolás de los Garza	6000000.0	2.0	False	False	False	False	3.0	False	120.0	False	4.0	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	500.0	False
CASA EN VENTA, COL. DOS RIOS, GUADALUPE, N.L. $2'800,000.00	2 Ríos, Guadalupe	2800000.0	2.5	False	True	False	True	3.0	True	294.0	False	3.0	True	True	False	True	False	True	True	True	True	False	True	True	False	True	False	False	False	True	True	True	True	False	False	False	184.0	False
Casa Nueva en Venta Loma Bonita	Loma Bonita, Monterrey	9900000.0	4.0	False	False	False	False	3.0	False	402.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	373.0	False
CASA EN VENTA EN ESQUINA FRACC. PRIVADO	García	2350000.0	2.5	False	False	False	False	2.0	False	140.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	118.0	False
casa en cumbres elite premier	Cumbres Elite Premier, García	5450000.0	4.0	False	False	False	False	2.0	True	278.0	False	3.0	False	False	False	False	True	False	True	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False	False	False	144.0	False
Casa en venta Flor de Piedra en Monterrey Nuevo León	Flor de Piedra, Monterrey	20900000.0	5.0	False	False	False	False	3.0	False	723.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	514.0	False
Casa en venta, Rincón de San Gerardo El Barro, N.L	El Barro, Santiago	5890000.0	3.0	False	False	False	False	2.0	False	240.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	206.0	False
Casa en Venta en Valle, San Pedro Garza García., N.L. -7964	Del Valle, San Pedro Garza García	30500000.0	4.0	False	False	False	False	3.0	False	582.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	453.0	False
Amplia Casa en Santiago Nuevo León Club de Golf Las Misiones.	Las Misiones, Santiago	29950000.0	6.0	False	False	False	False	6.0	False	1300.0	False	6.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1514.0	False
Casa Carretera Nacional, Colonia La Toscana, Monterrey	La Toscana, Monterrey	10500000.0	5.5	False	True	False	True	2.0	True	392.0	False	3.0	True	False	True	True	True	True	True	True	False	True	True	False	False	True	True	False	False	True	True	True	True	True	False	False	443.0	False
ETNA. Valle de Cumbres Premier	Valle de Cumbres, García	5600000.0	3.5	False	False	False	False	2.0	False	215.0	False	6.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	395.0	False
Casa en Venta en Amorada Privada Residencial en Carretera Nacional	Los Rodriguez, Santiago	6750000.0	3.5	False	False	False	False	3.0	False	350.0	False	3.0	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	250.0	True
RESIDENCIA NIVEL PLUS/ FRACCIONAMIENTO PRIVADO	Cumbres Elite, Monterrey	7300000.0	4.0	False	False	False	False	4.0	False	388.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	162.0	False
CASA EN VENTA, COLONIA CUMBRES ELITE PREMIER, GARCIA NUEVO LEON	Cumbres Elite Premier, García	5400000.0	4.0	False	False	False	True	2.0	True	300.0	False	3.0	False	False	False	False	True	False	True	False	False	False	False	False	False	True	True	False	False	True	True	True	False	False	False	False	144.0	False
Casa en Colinas de San Jeronimo	Colinas de San Jerónimo, Monterrey	11475000.0	3.0	False	False	False	False	2.8	False	365.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	426.0	False
CASA EN VENTA CARRETERA NACIONAL CUMBRES DE SANTIAGO	Santiago Centro, Santiago	4400000.0	3.0	False	False	False	False	2.0	False	250.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	200.0	False
CASA EN VENTA  GUADALUPE	Provivienda de Guadalupe, Guadalupe	2300000.0	2.0	False	False	False	False	2.0	False	187.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	160.0	False
Venta de Casa Carretera Nacional El Uro, Priv. Dos Encinos	El Uro, Monterrey	15500000.0	4.0	False	False	False	False	3.0	False	470.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	427.0	False
Quinta en venta en allende el fraile	Rio Ramos, Allende	18000000.0	2.0	False	False	True	False	4.0	False	1.0	False	3.0	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	10000.0	True
Casa En Venta Monterrey Nuevo Leon Fracc ALTRYSA Muy Cerca De Avenida Leones	Montenova, García	2426000.0	34.0	False	True	False	False	2.0	True	210.0	False	3.0	False	True	False	False	True	True	True	False	False	False	True	False	False	True	True	False	False	False	True	True	True	True	False	False	200.0	True
Casa en VENTA	La Cima, San Pedro Garza García	21900000.0	4.0	False	False	False	False	4.0	False	553.0	False	3.0	True	False	False	True	False	False	False	False	False	True	False	False	False	True	True	False	False	False	True	True	False	False	False	False	600.0	True
CASA EN CENTRO CALLE RUPERTO MARTINEZ	Centro, Monterrey	3800000.0	2.5	False	False	False	False	1.0	False	290.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	116.0	False
CASA EN VENTA EN CERRADAS DE CUMBRES MONTERREY NUEVO LEON	Cerradas Cumbres, Monterrey	3950000.0	4.5	False	True	False	False	2.0	False	131.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	236.0	True
CASA EN VENTA, COLONIA PASEO DEL ACUEDUCTO, JUAREZ NUEVO LEON	Paseo de Acueducto Juárez, Juárez	650000.0	1.0	False	False	False	False	1.0	False	51.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	90.0	False
Excelente Oportunidad Casa en Venta	Villa Montaña, San Pedro Garza García	19850000.0	3.0	True	True	False	False	2.0	False	380.0	False	3.0	True	True	False	True	False	True	False	True	True	True	True	False	False	True	True	False	False	False	True	True	False	False	False	False	580.0	False
Casa Cumbres Elite	Cumbres Elite, Monterrey	6275000.0	4.0	False	False	False	False	2.0	False	294.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	160.0	False
Casa en venta en Las Águilas en Guadalupe Nuevo León	Las Águilas, Guadalupe	23500000.0	3.0	False	False	False	False	3.0	False	600.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	420.0	False
CASA PORTAL DEL NORTE	Portal del Norte, General Zuazua	9000000.0	6.0	False	True	False	True	3.0	True	350.0	False	5.0	False	False	False	True	False	False	True	False	False	True	False	False	False	True	True	False	False	False	True	True	False	False	False	False	1500.0	False
VENTA DE QUINTA JUAREZ NUEVO LEON	Juárez, Juárez	18200000.0	9.0	False	True	False	True	8.0	False	1218.0	False	8.0	True	False	True	True	True	True	True	True	True	True	True	False	False	True	True	False	True	False	True	True	True	True	True	True	1943.0	True
2 niveles patio amplio	Valle de Cumbres Premier, García	5690813.0	3.5	False	False	False	False	2.0	False	217.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	180.0	False
Quinta en el Barrial N:L:	Valle Escondido, Santiago	10600000.0	2.0	False	False	False	False	10.0	False	150.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1405.0	False
Venta Casa Colonia San Genaro	San Genaro 1er Sector, Cadereyta Jiménez	750000.0	1.0	False	False	False	False	1.0	False	45.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	96.0	False
CASA EN VENTA EN SIERRA ALTA	Sierra Alta 1a Etapa, Monterrey	23500000.0	5.0	False	False	False	False	3.0	False	725.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	645.0	False
CASA EN VENTA EN LA JOYA	La Joya, Monterrey	20500000.0	6.0	False	False	False	False	4.0	False	750.0	False	5.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	424.0	False
Casa en Venta Zona Cumbres, Nuevo Leon	Cumbres Elite Premier, García	3895000.0	3.0	False	False	False	False	2.0	False	231.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	136.0	False
Casa en Venta, Paseo San Javier, Pesquería Nuevo León	Lomas de San Martín, Pesquería	450000.0	1.0	False	False	False	False	1.0	False	103.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	90.0	False
CASA EN VENTA, COLONIA VALLE DEL CAMPESTRE, SAN PEDRO GARZA GARCIA NUEVO LEON	Valle Del Campestre, San Pedro Garza García	20000000.0	4.0	False	False	False	False	2.0	False	420.0	False	3.0	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	620.0	False
CASA EN VENTA PRIVADA LORETO CARRETERA NACIONAL	La Joya, Monterrey	12500000.0	3.0	False	False	False	False	3.0	False	397.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	297.0	False
CASA A ESTRENAR EN VENTA CUMBRES (PONIENTE)	Montenova, García	3013100.0	2.0	False	False	False	False	2.0	True	160.0	False	3.0	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	112.0	True
Casa en Venta en Murano Residencial, Garcia.	Murano, García	2400000.0	1.0	True	True	False	False	2.0	False	119.0	False	3.0	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	119.0	False
CASA EN CUMBRES EN 6ta SECCIÒN, MONTERREY, NUEVO LEÒN LPS	Cumbres, Monterrey	600000.0	3.0	True	True	True	True	2.0	False	201.0	False	3.0	False	False	True	True	True	False	True	False	False	True	True	False	False	False	True	False	False	False	True	True	False	True	False	True	190.0	False
Casa Valle de Cumbres Premier	García	5470000.0	5.0	False	True	False	False	3.0	True	249.0	False	3.0	True	False	False	False	True	False	True	False	False	True	False	True	False	True	False	False	False	True	True	True	True	False	False	False	228.0	False
SIERRA ALTA / RESIDENCIA PLUS/ 9o Sector	Sierra Alta 2a Etapa, Monterrey	19500000.0	5.0	False	False	False	False	4.0	False	586.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	162.0	False
Nueva 3 niveles con jardín interior	Valle de Cumbres Premier, García	6691750.0	4.5	False	False	False	False	2.0	False	252.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	180.0	False
Venta Casa Carretera Nacional, Bosques de las Misiones	Yerbaniz, Santiago	9100000.0	5.0	False	False	False	False	3.0	False	380.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	300.0	False
Casa en Venta Fracc. Mitica en Carretera Nacional	El Barro, Santiago	8250000.0	4.0	False	False	True	False	2.0	True	320.0	False	3.0	False	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	False	312.26	False
Casa en Venta Fracc. Mitica en Carretera Nacional	El Barro, Santiago	8500000.0	4.0	False	False	True	False	2.0	True	320.0	False	3.0	True	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	False	342.07	False
Casa en Venta en Pedregal la Silla 5to Sector	Pedregal La Silla, Monterrey	6500000.0	4.0	False	False	False	False	2.0	True	157.11	True	3.0	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	263.81	False
Casa en venta Valle del Cristal, CArretera Nacional, Zona Sur	Valle de Cristal, Monterrey	16500000.0	6.0	True	False	True	False	10.0	True	592.0	False	3.0	True	True	False	True	False	True	True	True	False	True	True	False	True	True	True	False	True	True	True	False	True	True	False	False	936.0	True
Quinta en Venta en Mil Encinos	Montemorelos	7500000.0	5.5	False	False	False	False	3.0	False	240.0	False	3.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	2900.0	False
Casa en Venta en Montenova Residencial	Montenova, García	4100000.0	3.5	False	False	False	False	2.0	False	214.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	112.0	False
CASA EN VENTA FRACC. CAROLCO, CARRETERA NACIONAL, MONTERREY, N.L. $11'950,000.00	Carolco, Monterrey	11950000.0	4.5	True	True	False	False	3.0	True	414.0	False	3.0	True	True	True	False	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	True	True	True	False	False	294.3	True
Casa en  Pre venta en Las Águilas  Residencial en Guadalupe Nuevo León	Las Águilas, Guadalupe	17880000.0	3.0	False	False	False	False	3.0	False	450.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	427.0	False
Casa en venta en Juárez, hacienda de san josé.	San Jose, Juárez	410000.0	1.0	False	False	False	False	1.0	False	40.0	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	113.0	False
EXCELENTE CASA EN SABINAS HIDALGO    INFORMES :8120404011	Pablo Santos, Sabinas Hidalgo	1700000.0	2.0	False	False	False	True	1.0	True	293.0	False	3.0	False	True	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	438.0	False
ETNA PLUS. Valle de Cumbres Premier	Valle de Cumbres, García	6500000.0	4.5	False	False	False	False	2.0	False	246.46	False	7.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	426.46	False
VENTA CASA MONTERREY	Residencial Cumbres, Monterrey	11500000.0	3.5	False	False	False	False	6.0	True	426.0	False	3.0	True	False	False	True	False	True	True	False	True	True	False	False	False	True	True	False	False	False	True	True	False	False	False	False	480.0	True
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	2820000.0	3.0	False	False	False	False	2.0	False	190.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	160.0	False
Casa en Venta Castaños del Vergel Carretera Nacional	La Joya, Monterrey	10650000.0	4.0	False	False	False	False	3.0	False	414.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	251.0	False
Casa Venta en Carretera Nacional, en Las Esmeraldas Residencial	Los Cristales, Monterrey	8400000.0	6.0	False	False	False	False	3.0	False	365.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	200.0	False
