titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
CASA EN VENTA  GUADALUPE	Provivienda de Guadalupe, Guadalupe	$ 2,300,000	2					2		187						4																												160	
Venta de Casa Carretera Nacional El Uro, Priv. Dos Encinos	El Uro, Monterrey	$ 15,500,000	4					3		470						3																												427	
Quinta en venta en allende el fraile	Rio Ramos, Allende	$ 18,000,000	2			True		4		1					No	3	True				20/02/23										True			True							True			10000	True
Casa En Venta Monterrey Nuevo Leon Fracc ALTRYSA Muy Cerca De Avenida Leones	Montenova, García	$ 2,426,000	34		True			2	True	210					No	3		True			14/11/22	True	True	True				True			True	True					True		True	True	True			200	True
Casa en VENTA	La Cima, San Pedro Garza García	$ 21,900,000	4					4		553					No	3	True			True							True				True	True					True		True					600	True
CASA EN CENTRO CALLE RUPERTO MARTINEZ	Centro, Monterrey	$ 3,800,000	2.5					1		290					No	3																												116	
CASA EN VENTA EN CERRADAS DE CUMBRES MONTERREY NUEVO LEON	Cerradas Cumbres, Monterrey	$ 3,950,000	4.5		True			2		131					No	4					25/03/23										True						True		True					236	True
CASA EN VENTA, COLONIA PASEO DEL ACUEDUCTO, JUAREZ NUEVO LEON	Paseo de Acueducto Juárez, Juárez	$ 650,000	1					1		51					No	2					25/03/23																							90	
Excelente Oportunidad Casa en Venta	Villa Montaña, San Pedro Garza García	$ 19,850,000	3	True	True			2		380					No	3	True	True		True			True		True	True	True	True			True	True				2005	True	contado	True					580	
Casa Cumbres Elite	Cumbres Elite, Monterrey	$ 6,275,000	4					2		294						3																				2008								160	
Casa en venta en Las Águilas en Guadalupe Nuevo León	Las Águilas, Guadalupe	$ 23,500,000	3					3		600						3																												420	
CASA PORTAL DEL NORTE	Portal del Norte, General Zuazua	$ 9,000,000	6		True		True	3	True	350					No	5				True				True			True				True	True					True		True					1500	
VENTA DE QUINTA JUAREZ NUEVO LEON	Juárez, Juárez	$ 18,200,000	9		True		True	8		1218					No	8	True		True	True	04/07/20	True	True	True	True	True	True	True			True	True		True			True		True	True	True	True	True	1943	True
2 niveles patio amplio	Valle de Cumbres Premier, García	$ 5,690,813	3.5					2		217					No	3					15/04/23																							180	
Quinta en el Barrial N:L:	Valle Escondido, Santiago	$ 10,600,000	2					10		150						2																				2014								1405	
Venta Casa Colonia San Genaro	San Genaro 1er Sector, Cadereyta Jiménez	$ 750,000	1					1		45						2					12/07/22																							96	
CASA EN VENTA EN SIERRA ALTA	Sierra Alta 1a Etapa, Monterrey	$ 23,500,000	5					3		725						4																												645	
CASA EN VENTA EN LA JOYA	La Joya, Monterrey	$ 20,500,000	6					4		750						5																												424	
Casa en Venta Zona Cumbres, Nuevo Leon	Cumbres Elite Premier, García	$ 3,895,000	3					2		231					No	3					02/02/23																							136	
Casa en Venta, Paseo San Javier, Pesquería Nuevo León	Lomas de San Martín, Pesquería	$ 450,000	1					1		103						2																												90	
CASA EN VENTA, COLONIA VALLE DEL CAMPESTRE, SAN PEDRO GARZA GARCIA NUEVO LEON	Valle Del Campestre, San Pedro Garza García	$ 20,000,000	4					2		420					No	3					25/03/23						True																	620	
CASA EN VENTA PRIVADA LORETO CARRETERA NACIONAL	La Joya, Monterrey	$ 12,500,000	3					3		397						3																												297	
CASA A ESTRENAR EN VENTA CUMBRES (PONIENTE)	Montenova, García	$ 3,013,100	2					2	True	160					No	3					09/02/21							True							True					True				112	True
Casa en Venta en Murano Residencial, Garcia.	Murano, García	$ 2,400,000	1	True	True			2		119					No	3												True			True			True										119	
CASA EN CUMBRES EN 6ta SECCIÒN, MONTERREY, NUEVO LEÒN LPS	Cumbres, Monterrey	$ 600,000	3	True	True	True	True	2		201						3			True	True	13/10/22	True		True			True	True				True					True		True		True		True	190	
Casa Valle de Cumbres Premier	García	$ 5,470,000	5		True			3	True	249					No	3	True				06/01/23	True		True			True		True		True				True		True		True	True				228	
SIERRA ALTA / RESIDENCIA PLUS/ 9o Sector	Sierra Alta 2a Etapa, Monterrey	$ 19,500,000	5					4		586						4																												162	
Nueva 3 niveles con jardín interior	Valle de Cumbres Premier, García	$ 6,691,750	4.5					2		252					No	3					01/04/23															2023								180	
Venta Casa Carretera Nacional, Bosques de las Misiones	Yerbaniz, Santiago	$ 9,100,000	5					3		380					No	3																												300	
Casa en Venta Fracc. Mitica en Carretera Nacional	El Barro, Santiago	$ 8,250,000	4			True		2	True	320					No	3					15/03/23			True	True							True			True				True	True				312.26	
Casa en Venta Fracc. Mitica en Carretera Nacional	El Barro, Santiago	$ 8,500,000	4			True		2	True	320					No	3	True							True	True							True			True				True	True				342.07	
Casa en Venta en Pedregal la Silla 5to Sector	Pedregal La Silla, Monterrey	$ 6,500,000	4					2	True	157.11					Sí	3					14/02/23	True		True	True																			263.81	
Casa en venta Valle del Cristal, CArretera Nacional, Zona Sur	Valle de Cristal, Monterrey	$ 16,500,000	6	True		True		10	True	592						3	True	True		True	07/04/21		True	True	True		True	True		True	True	True		True	True		True			True	True			936	True
Quinta en Venta en Mil Encinos	Montemorelos	$ 7,500,000	5.5					3		240						3	True																											2900	
Casa en Venta en Montenova Residencial	Montenova, García	$ 4,100,000	3.5					2		214					No	3																												112	
CASA EN VENTA FRACC. CAROLCO, CARRETERA NACIONAL, MONTERREY, N.L. $11'950,000.00	Carolco, Monterrey	$ 11,950,000	4.5	True	True			3	True	414					No	3	True	True	True			True	True	True	True		True	True		True	True	True	True	True	True		True		True	True	True			294.3	True
Casa en  Pre venta en Las Águilas  Residencial en Guadalupe Nuevo León	Las Águilas, Guadalupe	$ 17,880,000	3					3		450						3																												427	
Casa en venta en Juárez, hacienda de san josé.	San Jose, Juárez	$ 410,000	1					1		40					No	2																												113	
EXCELENTE CASA EN SABINAS HIDALGO    INFORMES :8120404011	Pablo Santos, Sabinas Hidalgo	$ 1,700,000	2				True	1	True	293					No	3		True			22/04/23		True	True			True																	438	
ETNA PLUS. Valle de Cumbres Premier	Valle de Cumbres, García	$ 6,500,000	4.5					2		246.46			7.5			3																												426.46	
VENTA CASA MONTERREY	Residencial Cumbres, Monterrey	$ 11,500,000	3.5					6	True	426						3	True			True	05/07/22		True	True		True	True				True	True					True		True					480	True
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	$ 2,820,000	3					2		190					No	3					14/11/22																							160	
Casa en Venta Castaños del Vergel Carretera Nacional	La Joya, Monterrey	$ 10,650,000	4					3		414					No	3																												251	
Casa Venta en Carretera Nacional, en Las Esmeraldas Residencial	Los Cristales, Monterrey	$ 8,400,000	6					3		365					No	3																												200	
CASA EN VENTA, COLONIA VALLE DE CRISTAL, MONTERREY NUEVO LEON	Valle de Cristal, Monterrey	$ 9,350,000	3					3	True	431					No	3					25/03/23			True							True								True					323	
CASA EN VENTA EN MITICA	Centro, Monterrey	$ 8,250,000	3					2		345						3																												250	
CASA EN VENTA CAROLCO MONTERREY SUR	Carolco, Monterrey	$ 13,500,000	5					3		583						4																												290	
CASA EN VENTA  CARRETERA NACIONAL SIERRA ALTA 9 SECTOR	Sierra Alta 1a Etapa, Monterrey	$ 19,500,000	4					4		600						4																												550	
CASA EN VENTA  CARRETERA NACIONAL LA JOYA	La Joya, Monterrey	$ 21,500,000	6					3		750						4																				2020								434	
CASA EN VENTA EN ESPACIO CUMBRES a 1 min de Leones, SUPER EQUIPADA!!	Fraccionamiento Espacio Cumbres, Monterrey	$ 4,320,000	3.5		True		True	2	True	284					Sí	3	True	True			11/04/23	True	True	True							True				True		True			True				150	
Dalia. Montellán	Monterrey	$ 5,400,000	3.5					3		228.4			6.5			3																												347.4	
Casa en Venta en Lomas del Vergel, Zona Sur de Monterrey	Lomas del Vergel, Monterrey	$ 6,500,000	5			True		2		334					No	3		True					True								True	True			True				True		True			136	
Casa en Venta, Sienna Residencial, Carretera Nacional, URO, Monterrey, Equipada	Granadas de Laderas, Monterrey	$ 12,450,000	4.5					3	True	450						3	True		True								True				True	True			True									336	True
Espectacular Casa en Carretera Nacional. Los Olivos Residencial	El Barro, Santiago	$ 11,500,000	5.5					2		529					No	3																												300	
Casa en Venta Fracc. Valle de Cristal en Carretera Nacional	Valle de Cristal, Monterrey	$ 8,500,000	4					3	True	300					No	3						True		True	True							True			True					True				313.5	
Casa en venta en Col. Laderas del Mirador F XXI, Monterrey	Laderas Del Mirador, Monterrey	$ 2,850,000	2							158						7																				1980									
Casa en Venta en Col. Fama II	La Fama, Santa Catarina	$ 2,000,000	1					4		125						3																				1985									
Casa parte alta Cima de la Montaña junto a Reserva Federal.	Cima de las Cumbres, Monterrey	$ 8,500,000	5			True		2	True	468					No	3						True		True								True							True					200	
VENDO CASA EN SAN PEDRO GARZA GARCIA N.L.	San Angel, San Pedro Garza García	$ 32,000,000	3		True		True	3	True	900					No	3	True	True	True	True	11/04/23	True	True	True	True	True	True	True	True		True	True	True	True			True		True		True	True	True	850	True
CASA EN VENTA EN VISTA HERMOSA MONTERREY	Vista Hermosa, Monterrey	$ 8,550,000	4					2	True	300					No	3								True			True				True													180	
Valle de Cumbres Premier	Valle de Cumbres, García	$ 5,600,000	3.5					2		215			6.5			3																												395	
TEIDE. Valle de Cumbres Premier	Valle de Cumbres, García	$ 5,700,000	3.5					2		217.43			6.5			3																												397.43	
ARANDA PLUS. Valle de Cumbres Premier	Valle de Cumbres, García	$ 6,700,000	4.5					2		251.83			7.5			3																												431.83	
Casa en Venta CAROLCO 1er Sector , Carretera Nacional, Monterrey	Carolco, Monterrey	$ 11,950,000	4.5				True	3	True	414						3	True		True								True			True	True	True			True					True				294.28	True
VENTA DE CASA EN SIERRA ALTA CARRETERA NACIONAL	Sierra Alta 1a Etapa, Monterrey	$ 15,990,000	5					3		461					No	4																												413	
Casa en Venta en Carretera Nacional	El Uro, Monterrey	$ 14,890,000	5					3		585						3																												488	
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	$ 2,820,000	4	True	True		True	2	True	210					No	3	True	True			14/11/22				True			True	True		True		True	True					True	True	True	True	True	200	True
Casa en Venta en Residencial Dinastia	Residencial Dinastía, Monterrey	$ 12,200,000	3			True		2	True	445					No	3	True					True		True	True							True							True					257.65	
Casa en Venta Fracc. La Esmeralda en Carretera Nacional	Los Cristales, Monterrey	$ 7,500,000	3					2	True	344					No	3								True																				204	
NUEVA en 2 o 3 niveles, con DOBLE ALTURA	Valle de Cumbres Premier, García	$ 5,636,855	3.5				True	2	True	215					No	3					01/04/23			True											True	2023								180	True
Casa en Venta Carretera Nacional, Bosque de las Misiones	Yerbaniz, Santiago	$ 10,250,000	7					3		450					No	4																												318	
Venta de casa en La Rioja	Monterrey	$ 7,500,000	4.5					2		309					No	3																												200	
CASA E N VENTA  ZONA SUR MTY RESIDENCIAL LOS AZULEJOS	Sierra Alta 1a Etapa, Monterrey	$ 17,500,000	6					3		530						4																												412	
VENTA DE CASA EN BOSQUES DE VALLE ALTO CARRETERA NACIONAL	Bosques de Valle Alto, Monterrey	$ 16,800,000	3		True			2	True	678					No	3	True	True		True				True			True				True	True					True		True					350	True
Casa Venta Cumbres Elite Cima del Bosque	Cima del Bosque, Monterrey	$ 7,650,000	4			True		2	True	340					No	3								True	True		True				True								True		True			160	
Montellán	Monterrey	$ 5,400,000	3.5					3		228.4			6.5			3																												347.4	
Casa Nueva Cima de la Montaña Cumbres Elite Mty	Cima de las Cumbres, Monterrey	$ 8,100,000	5			True		2	True	434					No	3					25/07/22	True		True	True										True		True		True		True			181	
CASA EN VENTA EL BARRO SANTIAGO N.L.	El Barro, Santiago	$ 6,500,000	2					3		502					No	4					25/03/23																							3912.29	
Casa en Venta Bosques de Vistancia Carretera Nacional	Vistancia, Monterrey	$ 8,550,000	4.5					4		303					No	3																												225	
Casa en Venta en Landana Residencial, Carretera Nacional	El Uro, Monterrey	$ 8,450,000	6					3		383					No	3																												300	
Casa en Colonia Centro, Cadereyta Jiménez, NL.	Cadereyta Jimenez Centro, Cadereyta Jiménez	$ 2,200,000	1					3		200						3		True					True	True				True																494	
Casa en Venta, Col. CNOP en Guadalupe, N.L.	Ciudad Cnop, Guadalupe	$ 1,200,000	2					1		210					No	4					25/04/23		True					True											True					105	
CASA EN VENTA  CARRETERA NACIONAL SIERRA ALTA 9 SEC	Sierra Alta 1a Etapa, Monterrey	$ 26,500,000	6					4		750						5																												800	
Venta de Casa en Los Faisanes, Sector El Dorado, Gpe.N.L.	Los Faisanes, Guadalupe	$ 2,290,000	2					1	True	155					No	3				True	04/04/23			True				True			True						True							105	
Casa en Venta LAS LAJAS, Esquinera, alberca y 4 habitaciones.	Las Lajas, Monterrey	$ 15,000,000	5					2	True	417					No	4					01/08/22																		True					223	True
Casa en venta en Valle de Santa María	Santa Maria Pesquería, Pesquería	$ 700,000	1					2		57						2																				2012								103	
Casa en Venta Dominio Cumbres	Centro Villa de Garcia (casco), García	$ 3,945,000	5					2		230						3																												136	
CASA EN VENTA EN GENERAL ESCOBEDO, PRIVADAS DEL SAUCE	Privadas del Sauce, General Escobedo	$ 1,900,000	3		True			1		150					No	3		True	True		01/07/22	True	True	True															True					142	
Residencia en Col. Veredalta (Zona Valle) en San Pedro	Veredalta, San Pedro Garza García	$ 24,990,000	6					2	True	868					No	5								True															True	True				635	True
CASA EN VENTA EN CASTAÑOS DEL VERGEL ZONA SUR CARRETERA NACIONAL	El Uro, Monterrey	$ 11,900,000	6		True	True	True	3	True	450					No	4	True	True	True			True	True	True		True	True	True			True	True			True		True		True	True	True			251	True
VENTA DE CASA EN FRACCIONAMIENTO LAS BUGAMBILIAS MONTEMORELOS	Montemorelos	$ 1,050,000	1				True	5		60					No	2					21/01/23		True	True	True			True																200	
Casa en venta en Los Parques Residencial	Centro Villa de Garcia (casco), García	$ 920,000	2							114						3																				2010								111	
CASA EN VENTA EN VALLE ALTO	Valle Alto, Monterrey	$ 17,900,000	5.5	True	True		True	3		834						4	True	True		True	07/06/21	True					True	True	True		True	True					True				True		True	1119	
CASA EN VENTA RESIDENCIAL ORION MISION OBISPADO	Apodaca	$ 3,600,000	3.5		True		True	2	True	203					No	3	True	True			25/02/23	True	True				True	True			True				True		True			True				119	True
Casa en venta en Carretera Nacional / El Barrial, Santiago, NL - 7921	El Barrial, Santiago	$ 6,490,000	4					2		315						3																												417	
Casa en venta en Mirador Residencial	Mirador, Monterrey	$ 7,000,000	2					2		240						3																				1980								389	
Casa - Contry	Contry, Monterrey	$ 23,700,000	5							600						3																												420	
VENTA CASA GPE.RINCON DE GPE.	Rincón de Guadalupe, Guadalupe	$ 1,480,000	1.5					2		180					No	4					14/02/22							True				True					True							105	
Venta de Proyecto de hermosa Residencia en Loma Bonita, Zona Carretera Nacional.	Loma Bonita, Monterrey	$ 13,000,000	7				True	3	True	462					No	4	True		True		02/11/22	True		True								True												362	
Casa en venta en Valle de Santa María, Pesquería.	Santa Maria Pesquería, Pesquería	$ 410,000	1					1		34					No	1																												90	
Casa en venta en García, portal de la sierra.	Valle San Felipe, García	$ 500,000	1					1		39					No	2																												90	
Casa en venta en la Independencia en Monterrey Nuevo León	Independencia, Monterrey	$ 1,950,000	2					2		212						3																				2006								138	
Casa Venta Cumbres Altrysa Dominio Cumbres	Cumbres, Monterrey	$ 2,615,000	2.5					2	True	160					No	3								True									True		True									119	True
Venta Casa Hermosa Col. Framboyanes Cadereyta NL	Cadereyta Jiménez	$ 1,800,000	2		True		True	1	True	194						3								True				True			True						True							240	
Casa en Venta,ESTRICTA SEGURIDAD,Zona Sur,Zona Sierra Alta,Monterrey, Nuevo León	Monterrey	$ 11,600,000	4.5	True			True	4	True	322					No	3	True	True	True	True	01/04/23	True	True	True	True		True	True	True			True	True	True	True		True		True	True	True	True		433	True
Casa en venta en Col. Tacubaya, Guadalupe	Tacubaya, Guadalupe	$ 2,800,000	4					1		201						5																				1997									
Casa en venta en Fracc. Valle de Palmas	Valle de las Palmas I, Apodaca	$ 1,650,000	1							90						2																				2002								90	
Casa en venta en Barrio Antiguo Cd. Solidaridad	Ciudad Solidaridad, Monterrey	$ 1,100,000	1					2		54						2																				2009								91	
CASA VENTA EN BUENOS AIRES EN MONTERREY ESQUINA CON REVOLUCION Y CHAPULTEPEC	Buenos Aires, Monterrey	$ 3,050,000	2					1		190					No	3																												218	
Casa para remodelar en venta Contry la Silla	Country La Silla Sect 1, Guadalupe	$ 10,500,000	3					2		437						3																				1996								590	
Venta hermosa Residencia en Cumbres 5º Sector D	Cumbres, Monterrey	$ 6,900,000	4		True			2	True	330					Sí	3	True	True		True							True				True	True					True							190	
CASA EN VENTA MONTERREY SAN JEMO	San Jemo, Monterrey	$ 6,250,000	2					2		170						3																												188	
Casa en condominio en venta en Jardínes de la Silla, Monterrey	Monterrey Centro, Monterrey	$ 890,000	1					2		82						2																				2007									
CASA VENTA SUR LA RIOJA CARRETERA NACIONAL	Residencial el Encanto II, Monterrey	$ 4,900,000	3					2		204						3																												173	
Venta de casa en ESQUINA  Col Valles de Guadalupe en Guadalupe	Valles de Guadalupe, Guadalupe	$ 1,450,000	2					4		148					No	3																												140	
Casa en Pre-Venta en Altares	Huajuquito, Santiago	$ 6,290,000	3					2		260						3																												211	
Casa en venta en Real del Valle 1 Sector	Real Del Valle, Santa Catarina	$ 4,600,000	2					2		215						3																				2002								323	
Casa en venta en Casa Bella 1er Sector	Residencial Casa Bella, San Nicolás de los Garza	$ 3,499,000	4					2		160						3																				1997								145	
